task_id,action,action_name,success,delay_s,energy_j,deadline_window_s,deadline_tightness,cpu_cycles,data_size_kb,priority,queue_delay_s
217,2,edge_50,False,0.338756367036124,0.0320217841451238,0.29050386196468025,1.166099358353144,597466489,646,3,0.0
217,3,edge_75,True,0.270568161688728,0.018184215113801982,0.29050386196468025,0.9313754380367719,597466489,646,3,0.0
217,4,edge_100,False,0.32151427903052815,0.0043864708214423585,0.29050386196468025,1.106747004518715,597466489,646,3,0.0
217,5,cloud,False,0.4782681892069771,0.004387445703488562,0.29050386196468025,1.6463402103243827,597466489,646,3,0.0
218,0,local,False,1.254521751,0.12545217509999998,0.6498022317973664,1.9306208714149333,1254521751,2271,3,0.0
218,1,edge_25,False,0.97089131325,0.10068290683616782,0.6498022317973664,1.494133546701578,1254521751,2271,3,0.0
218,2,edge_50,False,0.6572608755,0.07536506809189075,0.6498022317973664,1.0114783288478448,1254521751,2271,3,0.0
218,3,edge_75,True,0.5400479991889062,0.05116421505695313,0.6498022317973664,0.8310959439076137,1254521751,2271,3,0.0
218,4,edge_100,False,0.6886503421189932,0.025444733309496658,0.6498022317973664,1.0597845135344828,1254521751,2271,3,0.0
218,5,cloud,False,0.6513259152674082,0.025210782533704162,0.6498022317973664,1.002344841854155,1254521751,2271,3,0.0
219,0,local,False,0.701815665,0.07018156649999999,0.475914597598603,1.4746672376541117,701815665,1031,1,0.0
219,1,edge_25,False,0.5532536527499999,0.06016536731956113,0.475914597598603,1.1625061629578894,701815665,1031,1,0.0
219,2,edge_50,True,0.37779973650000004,0.050155318669142586,0.475914597598603,0.7938393535443617,701815665,1031,1,0.0
219,3,edge_75,True,0.33351799199156296,0.039267998433281465,0.475914597598603,0.7007937845875017,701815665,1031,1,0.0
219,4,edge_100,True,0.4179915912883342,0.028835796194167082,0.475914597598603,0.8782911753441899,701815665,1031,1,0.0
219,5,cloud,False,0.5445837690843048,0.027110318042152443,0.475914597598603,1.1442888531517978,701815665,1031,1,0.0
220,0,local,True,0.091808572,0.0091808572,0.1380518172372831,0.6650297970522161,91808572,106,0,0.0
220,1,edge_25,True,0.080593133,0.007205031392277369,0.1380518172372831,0.5837890048305321,91808572,106,0,0.0
220,2,edge_50,True,0.05764099,0.0052428063518389955,0.1380518172372831,0.4175315555674781,91808572,106,0,0.0
220,3,edge_75,True,0.04811227086629748,0.0032688904831487393,0.1380518172372831,0.3485087833621359,91808572,106,0,0.0
220,4,edge_100,True,0.052704700684934366,0.001346284142467184,0.1380518172372831,0.3817747693559561,91808572,106,0,0.0
220,5,cloud,False,0.37101778654057277,0.0013280360702864022,0.1380518172372831,2.6875255535598517,91808572,106,0,0.0
221,0,local,False,1.55482106,0.15548210599999998,0.5544049823947717,2.804486087559849,1554821060,1755,3,0.0
221,1,edge_25,False,1.212842370806129,0.11967016158735969,0.5544049823947717,2.187646953617217,1554821060,1755,3,0.0
221,2,edge_50,False,0.8241371058061291,0.08382573347545048,0.5544049823947717,1.486525431727255,1554821060,1755,3,0.0
221,3,edge_75,False,0.6485617843687724,0.04825918203132169,0.5544049823947717,1.169833975097567,1554821060,1755,3,0.0
221,4,edge_100,False,0.8182327504984076,0.012233959483131211,0.5544049823947717,1.4758755359016125,1554821060,1755,3,0.0
221,5,cloud,False,0.6854864711897124,0.012261129594856202,0.5544049823947717,1.2364363469980548,1554821060,1755,3,0.0
222,0,local,False,0.608225949,0.06082259489999999,0.296123105508741,2.0539631581772886,608225949,646,3,0.0
222,1,edge_25,False,0.47675352575,0.047683218576684734,0.296123105508741,1.6099842156218611,608225949,646,3,0.0
222,2,edge_50,False,0.32469703850000003,0.03458686098808824,0.296123105508741,1.0964934260775392,608225949,646,3,0.0
222,3,edge_75,True,0.2608862140237313,0.02131435829936564,0.296123105508741,0.8810059369583048,608225949,646,3,0.0
222,4,edge_100,False,0.3280901722441855,0.008386387672092745,0.296123105508741,1.1079519501881656,608225949,646,3,0.0
222,5,cloud,False,0.48814223346000585,0.008248521830002941,0.296123105508741,1.6484435843713547,608225949,646,3,0.0
223,0,local,True,0.04,0.003999999999999999,0.11999999999534339,0.33333333334626836,40000000,49,0,0.0
223,1,edge_25,True,0.040802816,0.003116049986743009,0.11999999999534339,0.34002346667986133,40000000,49,0,0.0
223,2,edge_50,True,0.030802816,0.002226402145472644,0.11999999999534339,0.2566901333432942,40000000,49,0,0.0
223,3,edge_75,True,0.02649618716211729,0.0013466855810586452,0.11999999999534339,0.22080155969287898,40000000,49,0,0.0
223,4,edge_100,True,0.024689333199983655,0.00045417379999182923,0.11999999999534339,0.20574444334118105,40000000,49,0,0.0
223,5,cloud,False,0.35891996433218454,0.0004599821660922656,0.11999999999534339,2.9909997028842708,40000000,49,0,0.0
224,0,local,False,1.064984452,0.10649844519999999,0.6715224154177122,1.5859253951151275,1064984452,1031,1,0.0
